titulo;autor;genero
Cien años de soledad;Gabriel García Márquez;Ficción
El amor en los tiempos del cólera;Gabriel García Márquez;Ficción
Don Quijote de la Mancha;Miguel de Cervantes;Aventura
1984;George Orwell;Distopía
El gran Gatsby;F. Scott Fitzgerald;Ficción
Orgullo y prejuicio;Jane Austen;Romántico
Moby Dick;Herman Melville;Aventura
Crónica de una muerte anunciada;Gabriel García Márquez;Ficción
Cumbres borrascosas;Emily Brontë;Ficción
Fahrenheit 451;Ray Bradbury;Distopía
La casa de los espíritus;Isabel Allende;Ficción
El túnel;Ernesto Sabato;Ficción
Los miserables;Victor Hugo;Ficción
El retrato de Dorian Gray;Oscar Wilde;Ficción
Rayuela;Julio Cortázar;Ficción
El ruido y la furia;William Faulkner;Ficción
El extranjero;Albert Camus;Ficción
La metamorfosis;Franz Kafka;Ficción
El alquimista;Paulo Coelho;Aventura
El jardín secreto;Frances Hodgson Burnett;Ficción
Mujer en punto cero;Nawal El Saadawi;Ficción
La sombra del viento;Carlos Ruiz Zafón;Ficción
La tregua;Mariano Grondona;Ficción
Siddhartha;Hermann Hesse;Ficción
La historia interminable;Michael Ende;Fantasía
El hobbit;J.R.R. Tolkien;Fantasía
Harry Potter y la piedra filosofal;J.K. Rowling;Fantasía
El señor de los anillos;J.R.R. Tolkien;Fantasía
Crónicas de Narnia;C.S. Lewis;Fantasía
Las aventuras de Tom Sawyer;Mark Twain;Aventura
La isla del tesoro;Robert Louis Stevenson;Aventura
El viejo y el mar;Ernest Hemingway;Ficción
En busca del tiempo perdido;Marcel Proust;Ficción
Los ojos de mi madre;José Saramago;Ficción
Las mil y una noches;Anónimo;Fantasía
La odisea;Homero;Fantasía
El príncipe;Nicolás Maquiavelo;Filosofía
El corazón de las tinieblas;Joseph Conrad;Ficción
Beloved;Toni Morrison;Ficción
Alicia en el país de las maravillas;Lewis Carroll;Fantasía
Cuentos de la selva;Horacio Quiroga;Ficción
La letra escarlata;Nathaniel Hawthorne;Ficción
El guardián entre el centeno;J.D. Salinger;Ficción
La muerte de Artemio Cruz;Carlos Fuentes;Ficción
Pedro Páramo;Juan Rulfo;Ficción
La ciudad de las bestias;Isabel Allende;Fantasía
La casa de papel;Alejandro Molina;Ficción
El principito;Antoine de Saint-Exupéry;Fantasía
El libro de los abrazos;Eduardo Galeano;Ficción
La invención de la soledad;Paul Auster;Ficción
Las venas abiertas de América Latina;Eduardo Galeano;Ficción
El espíritu de la comedia;Pedro Mairal;Ficción
Las flores del mal;Charles Baudelaire;Poesía
Cuentos de amor de locura y de muerte;Horacio Quiroga;Ficción
El mundo de Sofía;Jostein Gaarder;Ficción
El camino;Miguel Delibes;Ficción
El mar y sus secretos;José Luis García;Ficción
Cuentos de la selva;Horacio Quiroga;Ficción
El amor en los tiempos del cólera;Gabriel García Márquez;Ficción
Cien años de soledad;Gabriel García Márquez;Ficción
Cuentos de la selva;Horacio Quiroga;Ficción
Las aventuras de Huckleberry Finn;Mark Twain;Aventura
La historia interminable;Michael Ende;Fantasía
Crónica de una muerte anunciada;Gabriel García Márquez;Ficción
El jardín secreto;Frances Hodgson Burnett;Ficción
El hombre en busca de sentido;Viktor Frankl;Filosofía
Las mil y una noches;Anónimo;Fantasía
El túnel;Ernesto Sabato;Ficción
Cumbres borrascosas;Emily Brontë;Ficción
El retrato de Dorian Gray;Oscar Wilde;Ficción
Los miserables;Victor Hugo;Ficción
El principito;Antoine de Saint-Exupéry;Fantasía
El viejo y el mar;Ernest Hemingway;Ficción
El silencio de los inocentes;Thomas Harris;Thriller
La casa de los espíritus;Isabel Allende;Ficción
El maestro y Margarita;Mijaíl Bulgákov;Ficción
La tregua;Mariano Grondona;Ficción
El país de las sombras largas;Alberto Vázquez-Figueroa;Aventura
La canción del sol;Julián de Ajuria;Ficción
Mujer en punto cero;Nawal El Saadawi;Ficción
Cien años de soledad;Gabriel García Márquez;Ficción
Las flores del mal;Charles Baudelaire;Poesía
Rayuela;Julio Cortázar;Ficción
En busca del tiempo perdido;Marcel Proust;Ficción
El alma de la tierra;Javier Marías;Ficción
El río que nos lleva;José Luis Sampedro;Ficción
El espíritu de la comedia;Pedro Mairal;Ficción
Los ojos de mi madre;José Saramago;Ficción
La muerte de Artemio Cruz;Carlos Fuentes;Ficción
El amor en los tiempos del cólera;Gabriel García Márquez;Ficción
